"Level","Diversity","Value"
"Gene","Observed",13
"Gene","Chao1",13
"Gene","se.chao1",0
"Gene","ACE",NA
"Gene","se.ACE",NA
"Gene","Shannon",1.27598168112165
"Gene","Simpson",0.645373184116779
"Gene","InvSimpson",2.819865715765
"Gene","Fisher",0.946286939424396
"Allele","Observed",18
"Allele","Chao1",18
"Allele","se.chao1",0
"Allele","ACE",NA
"Allele","se.ACE",NA
"Allele","Shannon",2.07450412290751
"Allele","Simpson",0.816759864786207
"Allele","InvSimpson",5.45731970145768
"Allele","Fisher",1.6349091060189
"Protein","Observed",8
"Protein","Chao1",8
"Protein","se.chao1",0
"Protein","ACE",8
"Protein","se.ACE",1.22474487139159
"Protein","Shannon",1.75231470152044
"Protein","Simpson",0.8017963728191
"Protein","InvSimpson",5.04531634573621
"Protein","Fisher",1.55663110712443
